"series_key","2020","2021","2022","2023","2024","2025"
"A,I_IUCHAT1,PC_IND,Y25_64,LV",73.76,79.47,82.83,84.37,86.34,87.15
"A,I_IUCHAT1,PC_IND,Y25_64,MT",85.85,88.05,88.41,78.01,92.49,95.26
"A,I_IUCHAT1,PC_IND,Y25_64,NL",92.11,93.12,93.97,98.01,98.45,98.21
"A,I_IUCHAT1,PC_IND,Y25_64,PL",55.88,62.1,69.05,68.68,76.7,80.58
"A,I_IUCHAT1,PC_IND,Y25_64,PT",75.7,81.19,83.25,85.52,88.28,89.83
"A,I_IUCHAT1,PC_IND,Y25_64,RO",47.46,57.27,58.92,67.91,66.17,75.52
"A,I_IUCHAT1,PC_IND,Y25_64,SE",82.69,80.49,82.44,83.13,82.52,87.15
"A,I_IUCHAT1,PC_IND,Y25_64,SI",62.61,68.46,68.77,70.51,75.26,76.65
"A,I_IUCHAT1,PC_IND,Y25_64,SK",69.92,67.93,67.09,70.2,69.97,73.73
"A,I_IUCHAT1,PC_IND,Y65_74,AT",44.08,50.08,61.17,63.99,63.3,66.9
"A,I_IUCHAT1,PC_IND,Y65_74,BE",32.68,30.34,40.45,40.59,46.27,49.35
"A,I_IUCHAT1,PC_IND,Y65_74,BG",11.5,15.07,22.86,29.68,28.65,37.76
"A,I_IUCHAT1,PC_IND,Y65_74,CY",41.34,47.32,36.28,47.4,67.99,60.16
"A,I_IUCHAT1,PC_IND,Y65_74,CZ",19.28,27.43,35.18,41.55,51.45,56.04
"A,I_IUCHAT1,PC_IND,Y65_74,DE",44.7,35.48,35.26,43.02,58.42,62.88
"A,I_IUCHAT1,PC_IND,Y65_74,DK",68.91,70.12,67.24,77.16,72.12,84.06
"A,I_IUCHAT1,PC_IND,Y65_74,EE",28.05,29.98,31.2,38.47,34.14,41.8
"A,I_IUCHAT1,PC_IND,Y65_74,EL",15.46,20.62,22.41,28.55,34.07,38.12
"A,I_IUCHAT1,PC_IND,Y65_74,ES",61.13,67.13,71.18,75.04,77.42,81.97
"A,I_IUCHAT1,PC_IND,Y65_74,FI",52.84,56.98,56.7,59.91,61.01,73.95
"A,I_IUCHAT1,PC_IND,Y65_74,FR",NA,34.61,31.33,39.38,42.99,51.2
"A,I_IUCHAT1,PC_IND,Y65_74,HR",20.46,29.46,31.88,35.68,36.13,45.05
"A,I_IUCHAT1,PC_IND,Y65_74,HU",35.26,43.97,45.73,52.7,51.55,48
"A,I_IUCHAT1,PC_IND,Y65_74,IE",52.69,71.89,42.59,62.99,70.79,74.56
"A,I_IUCHAT1,PC_IND,Y65_74,IT",36.7,43.6,48.41,51.23,58.5,63.86
"A,I_IUCHAT1,PC_IND,Y65_74,LT",21.63,28.91,32.33,38.52,42.68,44.1
"A,I_IUCHAT1,PC_IND,Y65_74,LU",41.8,57.08,38.93,41.67,46.22,56.9
"A,I_IUCHAT1,PC_IND,Y65_74,LV",30.38,40.89,43.54,45.37,53.22,59.14
"A,I_IUCHAT1,PC_IND,Y65_74,MT",38.71,40.72,48.17,44.21,61.04,65.34
"A,I_IUCHAT1,PC_IND,Y65_74,NL",75.86,82.56,81.99,89.51,92.93,93.15
"A,I_IUCHAT1,PC_IND,Y65_74,PL",14.98,20.84,25.85,28.81,33.12,36.03
