Country Name,Country Code,Series Name,Series Code,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.97317073,78.07560976,78.12926829,78.87804878,78.9804878,79.3804878,79.78292683,79.6804878,80.03414634,80.18292683,80.58536585,80.38536585,80.58780488,81.28780488,80.99268293,81.43902439,81.49268293,81.59512195,81.99512195,80.69512195,81.7902439,81.74878049,82.39756098,..,..
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,4718.777151,4858.860626,4959.740124,5153.713083,5270.414791,5524.781678,5762.210233,5711.814589,5399.671,5461.40736,5596.052222,5732.665199,5957.349536,6128.120531,6154.622642,6140.867139,6071.854518,6011.990369,6171.614498,5238.540782,6142.989306,7068.21728,7424.758213,7681.244006,..
Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.944,69.528,69.819,70.152,70.335,70.535,70.652,70.665,70.806,70.875,70.975,71.134,71.276,71.437,71.647,71.843,72.062,72.322,72.577,71.58,70.917,72.19,73.566,..,..
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,492.4014995,546.4638297,676.0028781,758.6958038,779.4377778,809.1470725,912.3382472,1060.602545,1024.102779,973.2442549,1059.413589,1071.525837,1168.926993,1204.399187,1002.418869,1010.533896,1054.974081,1151.74097,1130.821353,1200.194266,1318.651581,1266.42711,1394.177847,1485.380189,..
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.654,56.851,57.092,57.346,57.738,57.966,58.249,58.099,58.258,58.387,58.462,58.559,58.863,59.008,59.123,59.283,59.528,59.71,59.888,60.154,59.61,60.475,60.774,..,..
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,59490.2452,63358.56587,67106.80281,71692.1589,77628.10352,97781.4559,107395.6515,110268.5624,104711.7124,104111.8242,99049.01699,100213.4934,101704.4075,100961.5766,104855.3668,108747.3561,112339.4256,113204.8221,115798.0408,106976.5462,112765.0817,121613.94,132604.4391,142855.3747,..
Bermuda,BMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.637,78.841,78.715,78.898,78.874,78.87,79.006,79.101,79.229,79.414,79.651,79.847,80.016,80.199,80.338,80.476,80.686,80.986,81.251,81.456,81.745,82.062,82.309,..,..
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,812.2382108,895.7994899,1022.382403,1130.359346,1299.949386,1405.607162,1850.415704,1919.597749,1918.395992,2435.579806,2787.979676,2751.212886,2679.952172,2849.499986,2954.040819,3152.309051,3435.288047,3400.204172,3576.879871,3191.66907,3570.61258,3711.32768,3831.325355,..,..
Bhutan,BTN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.323,63.984,64.662,65.29,65.875,66.499,67.152,67.733,68.156,68.765,69.28,69.759,70.161,70.504,70.797,71.119,71.413,71.711,72.005,72.253,72.448,72.754,72.975,..,..
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,930.1682272,888.221329,893.0137602,953.1918932,1020.123262,1202.711504,1354.549059,1692.672485,1731.181721,1929.783731,2315.521219,2575.598571,2870.02377,3041.435032,2996.012898,3035.873477,4048.401197,4206.855294,4203.154929,3580.967618,4010.760537,4219.461137,4274.708205,4421.166099,..
