name,city,state,pred_degree,type,region,locale,adm_rate,math_stat,size,cost,student_expend,earnings,debt
Ross Medical Education Center-Roosevelt Park,Roosevelt Park,MI,Associates,Private,Great Lakes,Suburb,NA,0,109,NA,1559,30060,9500
Ross Medical Education Center-Kentwood,Kentwood,MI,Associates,Private,Great Lakes,City,NA,0,112,NA,1337,30072,9500
South Florida Bible College and Theological Seminary,Deerfield Beach,FL,Associates,Private,Southeast,City,NA,0,271,NA,6089,45354,PS
Cloyd's Barber School 2 Inc,Monroe,LA,Associates,Private,Southeast,City,NA,0,37,NA,1511,23220,PS
Universal Technical Institute of Illinois Inc,Lisle,IL,Associates,Private,Great Lakes,Suburb,NA,0,1230,NA,3440,52873,13124
Pennsylvania College of Technology,Williamsport,PA,Associates,Public,Mid East,City,NA,0,4254,32595,20107,52567,23961
Commonwealth Institute of Funeral Service,Houston,TX,Associates,Private,Southwest,City,NA,0,382,43890,3212,37786,9500
Delta College of Arts & Technology,Baton Rouge,LA,Associates,Private,Southeast,City,NA,0,288,NA,1805,34222,7393
Stone Child College,Box Elder,MT,Associates,Public,Rocky Mountains,Rural,NA,0,187,13607,4888,24555,PS
New York Academy of Art,New York,NY,Graduate,Private,Mid East,City,NA,NA,NA,NA,13781,NA,PS
Suffolk County Community College,Selden,NY,Associates,Public,Mid East,Suburb,NA,0,14134,11626,9807,49907,8250
Las Positas College,Livermore,CA,Associates,Public,Far West,City,NA,0.016,6766,14810,8542,51088,PS
Ogeechee Technical College,Statesboro,GA,Associates,Public,Southeast,Town,NA,0,1781,15527,6279,31248,9500
Remington College-Mobile Campus,Mobile,AL,Associates,Private,Southeast,City,NA,0,244,32615,4258,31349,13271
Southern Technical College,Fort Myers,FL,Associates,Private,Southeast,City,NA,0,532,27949,4160,36155,11250
Mercy-St Luke's School of Radiologic Technology,Cedar Rapids,IA,Associates,Private,Plains,City,NA,0,21,NA,6953,NA,PS
Northwest Technology Center-Alva,Alva,OK,Associates,Public,Southwest,Rural,NA,0,33,NA,13465,32501,PS
Mercer County Career Center,Mercer,PA,Associates,Public,Mid East,Rural,NA,NA,0,NA,NA,49088,PS
California State University-San Marcos,San Marcos,CA,Bachelors,Public,Far West,Suburb,0.957,0.0088,14174,21144,8479,62908,17350
Hairmasters Institute of Cosmetology,Bloomington,IL,Associates,Private,Great Lakes,City,NA,0,77,NA,1304,19594,8288
Tricoci University of Beauty Culture LLC-Bloomington,Bloomington,IN,Associates,Private,Great Lakes,City,NA,0,123,NA,3904,27925,7307
Interactive College of Technology-Newport,Newport,KY,Associates,Private,Southeast,Suburb,NA,0,73,20798,3037,27065,10555
Miller-Motte College-McCann-Monroe,Monroe,LA,Associates,Private,Southeast,City,NA,0,111,NA,4521,31102,15917
Ross Medical Education Center-Taylor,Taylor,MI,Associates,Private,Great Lakes,Suburb,NA,0,57,NA,1159,30481,9500
Interactive College of Technology,Houston,TX,Associates,Private,Southwest,City,NA,0,71,18840,1700,27182,5353
Butler Beauty Academy-New Castle Beauty Academy,New Castle,PA,Associates,Private,Mid East,Town,NA,0,30,NA,4066,23003,7500
NorthWest Arkansas Community College,Bentonville,AR,Associates,Public,Southeast,City,NA,0,4632,10593,6316,43505,9506
H W Brewster Technical College,Tampa,FL,Associates,Public,Southeast,City,NA,0,1502,NA,2626,27053,PS
Hodges University,Fort Myers,FL,Bachelors,Private,Southeast,City,NA,0,171,28157,14818,37052,27675
University of St. Augustine for Health Sciences,San Marcos,CA,Graduate,Private,Far West,Suburb,NA,NA,NA,NA,9447,79150,PS
Capital Area Career Center,Springfield,IL,Associates,Public,Great Lakes,Rural,1,0,115,NA,4160,55357,9500
Hair Professionals Career College,Palos Hills,IL,Associates,Private,Great Lakes,Suburb,NA,0,80,NA,2076,23417,9500
Empire Beauty School-Bloomfield,Bloomfield,NJ,Associates,Private,Mid East,Suburb,NA,0,117,NA,8580,23925,13000
Southwest Technology Center,Altus,OK,Associates,Public,Southwest,Rural,NA,0,309,NA,8882,48966,PS
Western Area Career & Technology Center,Canonsburg,PA,Associates,Public,Mid East,Rural,NA,0,39,NA,6995,43189,PS
Nossi College of Art and Design,Nashville,TN,Bachelors,Private,Southeast,City,0.4327,0,278,26846,7451,35113,33498
Pima Medical Institute-Seattle,Seattle,WA,Associates,Private,Far West,City,NA,0,450,NA,8717,38673,9500
Mineral County Vocational Technical Center,Keyser,WV,Associates,Public,Southeast,Town,NA,0,14,NA,13968,46022,PS
Hypnosis Motivation Institute,Tarzana,CA,Associates,Private,Far West,City,NA,0,335,NA,1578,24244,9500
Thanh Le College School of Cosmetology,Garden Grove,CA,Associates,Private,Far West,Suburb,NA,0,54,NA,2671,13265,PS
Southeastern Technical College,Vidalia,GA,Associates,Public,Southeast,Town,NA,0,1091,15292,10910,30329,5750
Massachusetts School of Law,Andover,MA,Graduate,Private,New England,Suburb,NA,NA,NA,NA,6960,NA,PS
Universal Technical Institute-Orlando,Orlando,FL,Associates,Private,Southeast,Suburb,NA,0,866,NA,3019,48341,13097
Erwin Technical College,Tampa,FL,Associates,Public,Southeast,City,NA,0,556,NA,3313,37966,PS
Rosel School of Cosmetology,Niles,IL,Associates,Private,Great Lakes,Suburb,NA,0,14,NA,6112,19819,PS
Worsham College of Mortuary Science,Wheeling,IL,Associates,Private,Great Lakes,Suburb,0.7273,0,187,30150,9486,61574,15024
Bryan University,Springfield,MO,Associates,Private,Plains,City,NA,0,150,26177,2000,28725,22764
Oregon College of Oriental Medicine,Portland,OR,Graduate,Private,Far West,City,NA,NA,NA,NA,10919,NA,NA
Central Pennsylvania Institute of Science and Technology,Pleasant Gap,PA,Associates,Public,Mid East,Rural,0.9489,0,126,NA,15833,41677,9454
Northwest Educational Center,Houston,TX,Associates,Private,Southwest,City,NA,0,233,NA,2597,25442,PS
PCI Health Training Center,Dallas,TX,Associates,Private,Southwest,City,1,0,215,NA,2058,34096,7943
Hamrick School,Medina,OH,Associates,Private,Great Lakes,Rural,NA,0,89,NA,8863,44797,5481
Fortis College,Mobile,AL,Associates,Private,Southeast,City,NA,0,252,NA,2897,26652,9500
Downey Adult School,Downey,CA,Associates,Public,Far West,Suburb,NA,0,844,NA,4045,46851,PS
CRU Institute of Cosmetology and Barbering,Garden Grove,CA,Associates,Private,Far West,Suburb,NA,0,129,NA,3860,20125,9833
Modern Technology School,Fountain Valley,CA,Associates,Private,Far West,City,NA,0,99,NA,5024,50667,14875
National Career Education,Citrus Heights,CA,Associates,Private,Far West,Suburb,NA,0,438,NA,5136,38015,7853
North-West College-Glendale,Glendale,CA,Associates,Private,Far West,City,NA,0,100,NA,1726,37542,9500
Fremont University,Cerritos,CA,Associates,Private,Far West,Suburb,NA,0,153,NA,3429,39003,20000
Pomona Unified School District Adult and Career Education,Pomona,CA,Associates,Public,Far West,Suburb,NA,0,84,NA,15299,34849,PS
Universal College of Beauty Inc-Los Angeles 2,Los Angeles,CA,Associates,Private,Far West,City,NA,0,38,NA,8226,17821,PS
IBMC College,Fort Collins,CO,Associates,Private,Rocky Mountains,City,NA,0,306,26326,9694,34432,8750
Avalon Institute-Aurora,Aurora,CO,Associates,Private,Rocky Mountains,City,NA,0,217,NA,4392,24367,6332
Academy of Cosmetology,Merritt Island,FL,Associates,Private,Southeast,Suburb,NA,0,121,NA,3405,20144,5500
Fortis College-Smyrna,Smyrna,GA,Associates,Private,Southeast,Suburb,NA,0,488,31214,4083,36368,12547
Ross College-Davenport,Davenport,IA,Associates,Private,Plains,City,NA,0,40,NA,4316,29898,9500
Pivot Point Academy,Bloomingdale,IL,Associates,Private,Great Lakes,Suburb,NA,0,113,NA,6136,30453,9833
Blalock's Professional Beauty College,Shreveport,LA,Associates,Private,Southeast,City,NA,0,25,NA,8140,NA,PS
Diesel Driving Academy-Baton Rouge,Baton Rouge,LA,Associates,Private,Southeast,City,NA,0,271,NA,4746,43011,6333
New England Hair Academy,Malden,MA,Associates,Private,New England,Suburb,NA,0,102,NA,5840,NA,PS
Rob Roy Academy-Worcester,Worcester,MA,Associates,Private,New England,City,NA,0,121,NA,5128,30033,9465
Upper Cape Cod Regional Technical School,Bourne,MA,Associates,Public,New England,Rural,1,0,77,NA,8307,NA,9500
All-State Career-Baltimore,Baltimore,MD,Associates,Private,Mid East,City,NA,0,535,NA,3018,33193,9500
Adler Graduate School,Minnetonka,MN,Graduate,Private,Plains,City,NA,NA,NA,NA,8548,NA,PS
Academy of Hair Design-Jackson,Jackson,MS,Associates,Private,Southeast,City,NA,0,77,NA,1059,22284,6786
KC's School of Hair Design,Pontotoc,MS,Associates,Private,Southeast,Rural,NA,0,54,NA,542,NA,7978
Lincoln Technical Institute-Moorestown,Moorestown,NJ,Associates,Private,Mid East,Suburb,NA,0,633,NA,7609,31914,10521
MCVSD,Freehold,NJ,Associates,Public,Mid East,Suburb,NA,0,63,NA,13846,45062,PS
Yeshiva Gedolah Imrei Yosef D'spinka,Brooklyn,NY,Bachelors,Private,Mid East,City,NA,0,232,18269,4682,36545,PS
Knox County Career Center,Mount Vernon,OH,Associates,Public,Great Lakes,Town,NA,0,110,NA,10629,38212,9500
Madison Adult Career Center,Mansfield,OH,Associates,Public,Great Lakes,Suburb,NA,0,91,NA,5066,30941,4266
Remington College-Cleveland Campus,Cleveland,OH,Associates,Private,Great Lakes,Suburb,NA,0,133,27834,6165,31349,13271
Brown & Clermont Adult Career Campuses,Bethel,OH,Associates,Public,Great Lakes,Rural,NA,0,59,NA,17568,NA,PS
Chisholm Trail Technology Center,Omega,OK,Associates,Public,Southwest,Rural,NA,0,23,NA,13445,27170,PS
Gordon Cooper Technology Center,Shawnee,OK,Associates,Public,Southwest,Town,NA,0,208,NA,13293,42021,PS
Kiamichi Technology Center-McAlester,McAlester,OK,Associates,Public,Southwest,Town,NA,0,575,NA,5228,31625,PS
YTI Career Institute-Altoona,Altoona,PA,Associates,Private,Mid East,Suburb,NA,0,112,NA,7394,30188,PS
Eastern Center for Arts and Technology,Willow Grove,PA,Associates,Public,Mid East,Suburb,1,0,181,NA,4393,56446,11200
Empire Beauty School-Center City Philadelphia,Philadelphia,PA,Associates,Private,Mid East,City,NA,0,262,NA,9701,22377,10667
CEM College-Humacao,Humacao,PR,Associates,Private,Outlying Areas,Suburb,NA,0,174,18485,1956,21033,5000
Colegio Mayor de Tecnologia Inc,Arroyo,PR,Associates,Private,Outlying Areas,Suburb,NA,0,106,NA,4356,24591,PS
Institucion Chaviano de Mayaguez,Mayaguez,PR,Associates,Private,Outlying Areas,City,NA,0,124,NA,1947,12635,PS
Liceo de Arte-Dise-O y Comercio,Caguas,PR,Associates,Private,Outlying Areas,City,NA,0,190,NA,1238,15501,PS
Universal Technology College of Puerto Rico,Aguadilla,PR,Associates,Private,Outlying Areas,City,NA,0,149,NA,4208,19878,PS
Academy of Hair Technology,Greenville,SC,Associates,Private,Southeast,Suburb,NA,0,95,NA,2034,22893,3417
Mr Wayne's School of Unisex Hair Design,Cookeville,TN,Associates,Private,Southeast,Town,NA,0,22,NA,6433,23696,PS
Queen City College,Clarksville,TN,Associates,Private,Southeast,City,NA,0,127,NA,2824,26401,4913
College of the Marshall Islands,Majuro,MH,Associates,Public,Outlying Areas,NA,NA,0,1216,17852,2221,NA,PS
Remington College-Fort Worth Campus,North Richland Hills,TX,Associates,Private,Southwest,Suburb,NA,0,164,31426,4866,31349,13271
UCAS University of Cosmetology Arts & Sciences,San Antonio,TX,Associates,Private,Southwest,City,NA,0,16,NA,2799,13862,5417
School of Automotive Machinists & Technology,Houston,TX,Associates,Private,Southwest,City,0.5862,0,102,NA,10357,57529,9500
Nuvani Institute,San Antonio,TX,Associates,Private,Southwest,City,NA,0,16,NA,1942,19484,5304
Nuvani Institute,Eagle Pass,TX,Associates,Private,Southwest,City,NA,0,81,NA,3135,22354,5030
Texas College of Cosmetology-Abilene,Abilene,TX,Associates,Private,Southwest,City,NA,0,74,NA,2351,21685,6333
Centura College-Newport News,Newport News,VA,Associates,Private,Southeast,City,NA,0,210,31875,1714,25930,14750
Centura College-Norfolk,Norfolk,VA,Associates,Private,Southeast,City,NA,0,193,32531,3212,25930,14750
Virginia Beach City Public Schools School of Practical Nursing,Virginia Beach,VA,Associates,Public,Southeast,City,NA,0,41,NA,10038,NA,PS
Northwest College of Art & Design,Tacoma,WA,Bachelors,Private,Far West,City,0.7647,0,150,30217,3600,31167,30750
University of Washington-Bothell Campus,Bothell,WA,Bachelors,Public,Far West,Suburb,0.9177,0.0164,5228,24462,6826,78466,14615
University of Washington-Tacoma Campus,Tacoma,WA,Bachelors,Public,Far West,City,0.8295,0.0159,3989,24528,7772,78466,14615
Huntington School of Beauty Culture,Huntington,WV,Associates,Private,Southeast,Suburb,NA,0,115,NA,4039,24794,PS
Valley College-Beckley,Beckley,WV,Associates,Private,Southeast,City,NA,0,181,NA,2767,24070,9500
Valley College-Martinsburg,Martinsburg,WV,Associates,Private,Southeast,Suburb,NA,0,651,NA,803,24900,9500
Bellus Academy-Poway,Poway,CA,Associates,Private,Far West,Suburb,NA,0,369,NA,5062,25223,7917
Capstone College,Pasadena,CA,Associates,Private,Far West,City,NA,0,140,NA,6602,35348,9500
Central Coast College,Salinas,CA,Associates,Private,Far West,City,NA,0,490,NA,1534,40823,7476
Pacific College of Health and Science,San Diego,CA,Associates,Private,Far West,City,NA,0,173,41495,4899,26209,12271
Artistic Nails and Beauty Academy-Tampa,Tampa,FL,Associates,Private,Southeast,City,NA,0,299,NA,4340,20948,6333
National Aviation Academy of Tampa Bay,Clearwater,FL,Associates,Private,Southeast,Suburb,NA,0,582,NA,3123,59029,22000
Madison Oneida BOCES-Practical Nursing Program,Verona,NY,Associates,Public,Mid East,Rural,0.9167,0,88,NA,5571,41169,PS
College of Health Care Professions,Houston,TX,Associates,Private,Southwest,City,NA,0,529,NA,2546,33070,9500
Center for Advanced Legal Studies,Houston,TX,Associates,Private,Southwest,City,NA,0,243,NA,2273,56561,9500
Houston Training School-Main Campus,Houston,TX,Associates,Private,Southwest,Suburb,NA,0,220,NA,4824,18991,PS
Bay Mills Community College,Brimley,MI,Associates,Public,Great Lakes,Rural,NA,0,531,11801,5527,30048,PS
Fond du Lac Tribal and Community College,Cloquet,MN,Associates,Public,Plains,Town,NA,0,457,18557,7973,45665,14181
Northwest Indian College,Bellingham,WA,Associates,Public,Far West,Suburb,NA,0,677,14696,11264,35447,PS
Provo College,Provo,UT,Bachelors,Private,Rocky Mountains,City,NA,0,704,34045,4683,39645,41733
CET-Coachella,Coachella,CA,Associates,Private,Far West,Suburb,NA,0,84,NA,12964,32986,7041
CET-Oxnard,Oxnard,CA,Associates,Private,Far West,City,NA,0,82,NA,16755,32986,7041
CET-Santa Maria,Santa Maria,CA,Associates,Private,Far West,City,NA,0,125,NA,11146,32986,7041
Colorado Chinese Medicine University,Denver,CO,Graduate,Private,Rocky Mountains,City,NA,NA,NA,NA,4076,NA,PS
Michigan College of Beauty-Troy,Troy,MI,Associates,Private,Great Lakes,City,NA,0,220,NA,6946,22058,6333
Ogle School Hair Skin Nails-Dallas,Dallas,TX,Associates,Private,Southwest,City,NA,0,410,NA,2444,26885,7917
Phoenix Seminary,Scottsdale,AZ,Graduate,Private,Southwest,City,NA,NA,NA,NA,11511,NA,PS
Faust Institute of Cosmetology-Spirit Lake,Spirit Lake,IA,Associates,Private,Plains,Town,NA,0,16,NA,25933,23784,PS
Cheeks Beauty Academy,Loveland,CO,Associates,Private,Rocky Mountains,Suburb,NA,0,40,NA,9068,25459,7000
Colorado School of Healing Arts,Lakewood,CO,Associates,Private,Rocky Mountains,Suburb,NA,0,60,NA,4297,33444,7600
Mt. Diablo Adult Education-Mt. Diablo USD,Concord,CA,Associates,Public,Far West,Suburb,NA,0,153,NA,34259,40175,PS
Greater Lowell Technical School,Tyngsboro,MA,Associates,Public,New England,Suburb,1,0,77,NA,8237,NA,PS
Academy of Hair Design-Pearl,Pearl,MS,Associates,Private,Southeast,Suburb,NA,0,48,NA,1811,19921,6500
Genesis Career College-Lebanon,Lebanon,TN,Associates,Private,Southeast,Town,NA,0,98,NA,1846,24977,9500
Southwest College for the Deaf,Big Spring,TX,Associates,Public,Southwest,Town,NA,0,47,14687,25753,38382,9500
Fortis College-Richmond,Richmond,VA,Associates,Private,Southeast,Suburb,NA,0,399,26643,4449,32754,9500
Midwest College of Oriental Medicine-Racine,Racine,WI,Associates,Private,Great Lakes,City,NA,0,3,NA,4904,44136,PS
Hacienda La Puente Adult Education,La Puente,CA,Associates,Public,Far West,Suburb,0.8352,0,496,NA,31542,39271,PS
La Belle Beauty Academy,Miami,FL,Associates,Private,Southeast,City,NA,0,142,NA,4555,16212,7502
Hawaii Community College,Hilo,HI,Associates,Public,Far West,Town,NA,0,1470,15161,14539,34891,10500
Robert Fiance Beauty Schools-North Plainfield,North Plainfield,NJ,Associates,Private,Mid East,Suburb,NA,0,160,NA,10506,24509,6333
Long Island Beauty School-Hauppauge,Hauppauge,NY,Associates,Private,Mid East,Suburb,NA,0,119,NA,5761,26900,5500
Buckeye Joint Vocational School,New Philadelphia,OH,Associates,Public,Great Lakes,Rural,NA,0,80,NA,15618,35889,PS
Sandusky Career Center,Sandusky,OH,Associates,Public,Great Lakes,City,NA,0,81,NA,15874,40504,14513
Greater Altoona Career & Technology Center,Altoona,PA,Associates,Public,Mid East,City,NA,0,174,NA,6475,38008,9500
Central Texas Beauty College-Temple,Temple,TX,Associates,Private,Southwest,City,NA,0,120,NA,2402,23338,PS
Erie 2 Chautauqua Cattaraugus BOCES-Practical Nursing Program,Angola,NY,Associates,Public,Mid East,Town,NA,0,31,NA,12219,47270,PS
Empire Beauty School-Brooklyn,Brooklyn,NY,Associates,Private,Mid East,City,NA,0,161,NA,8599,24022,10667
Eastern New Mexico University Ruidoso Branch Community College,Ruidoso,NM,Associates,Public,Southwest,Town,NA,0,409,11194,12214,38550,16500
UEI College-Ontario,Ontario,CA,Associates,Private,Far West,City,NA,0,930,NA,2866,31141,9500
UEI College-Reseda,Reseda,CA,Associates,Private,Far West,City,NA,0,1056,NA,2661,31141,9500
Beacon College,Leesburg,FL,Bachelors,Private,Southeast,Suburb,0.6037,0,497,68815,8556,29420,25000
Acupuncture and Integrative Medicine College-Berkeley,Berkeley,CA,Graduate,Private,Far West,City,NA,NA,NA,NA,9286,NA,PS
Estrella Mountain Community College,Avondale,AZ,Associates,Public,Southwest,Suburb,NA,0.0023,6424,17366,4471,44356,7500
Heartland Community College,Normal,IL,Associates,Public,Great Lakes,Suburb,NA,0,2991,15314,6771,40768,7826
University of the Potomac-Washington DC Campus,Washington,DC,Bachelors,Private,Mid East,City,NA,0,266,21791,2010,34961,8769
Rabbi Jacob Joseph School,Edison,NJ,Bachelors,Private,Mid East,Suburb,0.9032,0,96,20300,19553,NA,PS
The Salon Professional Academy-Melbourne,Melbourne,FL,Associates,Private,Southeast,City,NA,0,132,NA,7625,16515,7528
Albert Einstein College of Medicine,Bronx,NY,Graduate,Private,Mid East,City,NA,NA,NA,NA,88389,NA,NA
Fortis Institute-Scranton,Scranton,PA,Associates,Private,Mid East,City,NA,0,205,31149,5905,30224,9500
Everglades University,Boca Raton,FL,Bachelors,Private,Southeast,City,0.8644,0,2369,36311,5543,47597,38996
Seminar L'moros Bais Yaakov,Brooklyn,NY,Associates,Private,Mid East,City,0.879,0,371,23916,4380,24366,PS
Herzing University-Orlando,Winter Park,FL,Associates,Private,Southeast,Suburb,0.8993,0,700,26011,5499,36909,21500
Cortiva Institute,Pompano Beach,FL,Associates,Private,Southeast,City,NA,0,121,NA,3137,27193,7521
College of Biblical Studies-Houston,Houston,TX,Bachelors,Private,Southwest,City,NA,0,482,20532,10616,39260,25570
Mid-EastCTC-Adult Education,Zanesville,OH,Associates,Public,Great Lakes,Rural,NA,0,268,NA,20865,40416,7600
Polaris Career Center,Middleburg Heights,OH,Associates,Public,Great Lakes,Suburb,NA,0,230,NA,6406,38718,6365
P&A Scholars Beauty School,Detroit,MI,Associates,Private,Great Lakes,City,NA,0,135,NA,554,20249,6333
Sharp's Academy of Hairstyling,Grand Blanc,MI,Associates,Private,Great Lakes,Suburb,NA,0,26,NA,3902,16266,PS
The College of Health Care Professions-Northwest,Houston,TX,Associates,Private,Southwest,City,NA,0,3794,NA,3218,33070,9500
School of Professional Horticulture New York Botanical Garden,Bronx,NY,Associates,Private,Mid East,City,0.75,0,19,NA,11588,NA,PS
Fortis College,Houston,TX,Associates,Private,Southwest,City,NA,0,357,NA,3184,33193,9500
UEI College-Gardena,Gardena,CA,Associates,Private,Far West,City,NA,0,1444,NA,2289,30848,9500
Asian-American International Beauty College,Westminster,CA,Associates,Private,Far West,Suburb,NA,0,413,NA,1250,12610,PS
Copper Mountain Community College,Joshua Tree,CA,Associates,Public,Far West,Rural,NA,0.0154,1090,16105,8051,33281,PS
Diversified Vocational College,Los Angeles,CA,Associates,Private,Far West,City,NA,0,224,NA,1183,25328,9500
UEI College-Fresno,Fresno,CA,Associates,Private,Far West,City,NA,0,974,NA,2134,27688,9500
Santiago Canyon College,Orange,CA,Associates,Public,Far West,City,NA,0.0108,10613,12617,6231,44956,5125
Southern California Institute of Technology,Anaheim,CA,Associates,Private,Far West,City,0.875,0,533,33835,1400,53598,10798
Soka University of America,Aliso Viejo,CA,Bachelors,Private,Far West,Suburb,0.6952,0,464,52758,47041,55017,15650
Summit College,San Bernardino,CA,Associates,Private,Far West,City,NA,0,1210,NA,5118,40187,7600
Advance Beauty College,Garden Grove,CA,Associates,Private,Far West,Suburb,NA,0,448,NA,913,11575,PS
Los Angeles Pacific College,Los Angeles,CA,Associates,Private,Far West,City,NA,0,61,NA,1063,NA,NA
World Mission University,Los Angeles,CA,Bachelors,Private,Far West,City,NA,0,180,22556,2922,NA,PS
Yo San University of Traditional Chinese Medicine,Los Angeles,CA,Graduate,Private,Far West,Suburb,NA,NA,NA,NA,7398,NA,PS
John Amico School of Hair Design,Oak Forest,IL,Associates,Private,Great Lakes,Suburb,NA,0,175,NA,3583,NA,7917
Delta College Inc,Covington,LA,Associates,Private,Southeast,Suburb,NA,0,153,NA,2544,32044,6397
Tri-State Cosmetology Institute,El Paso,TX,Associates,Private,Southwest,City,NA,0,147,NA,2178,18157,5735
Frontier Community College,Fairfield,IL,Associates,Public,Great Lakes,Town,NA,0,292,16961,3488,37533,6500
Lincoln Trail College,Robinson,IL,Associates,Public,Great Lakes,Rural,NA,0,360,17091,5600,37533,6500
Wabash Valley College,Mount Carmel,IL,Associates,Public,Great Lakes,Town,NA,0,526,16639,4989,37533,6500
Brookline College-Tempe,Tempe,AZ,Associates,Private,Southwest,City,NA,0,294,NA,4661,29576,9500
Inter American University of Puerto Rico-School of Optometry,Bayamon,PR,Graduate,Private,Outlying Areas,City,NA,NA,NA,NA,13213,NA,PS
Schiller International University,Tampa,FL,Bachelors,Private,Southeast,City,NA,0,35,24840,1267,35529,35758
Coconino Community College,Flagstaff,AZ,Associates,Public,Southwest,Rural,NA,0,2575,18426,4482,40420,10250
Emma's Beauty Academy-Juana Diaz,Juana Diaz,PR,Associates,Private,Outlying Areas,Suburb,NA,0,318,NA,1678,17034,PS
Brillare Beauty Institute,Cleveland,TN,Associates,Private,Southeast,City,NA,0,259,NA,5986,24728,7479
Pima Medical Institute-Denver,Denver,CO,Associates,Private,Rocky Mountains,Suburb,NA,0,764,NA,4776,38673,9500
Ohio State School of Cosmetology-Heath,Heath,OH,Associates,Private,Great Lakes,Suburb,NA,0,92,NA,3361,25078,9900
Yeshivas Novominsk,Brooklyn,NY,Associates,Private,Mid East,City,0.902,0,163,19500,22075,NA,PS
Southern Careers Institute-Corpus Christi,Corpus Christi,TX,Associates,Private,Southwest,City,NA,0,505,NA,3444,27035,8708
Rabbinical College of Ohr Shimon Yisroel,Brooklyn,NY,Bachelors,Private,Mid East,City,NA,0,233,27700,8221,NA,PS
Carroll Community College,Westminster,MD,Associates,Public,Mid East,Town,NA,0,2006,8611,10607,44349,11750
Galen College of Nursing-Tampa Bay,Saint Petersburg,FL,Associates,Private,Southeast,City,NA,0,1601,35084,4845,61480,24166
Galen College of Nursing-San Antonio,San Antonio,TX,Associates,Private,Southwest,City,NA,0,3206,34745,4590,61480,24166
Sarasota School of Massage Therapy,Sarasota,FL,Associates,Private,Southeast,Suburb,NA,0,76,NA,3196,30237,7916
Schuyler Steuben Chemung Tioga Allegany BOCES,Elmira,NY,Associates,Public,Mid East,Rural,NA,0,170,NA,5797,43956,9500
Delaware Chenango Madison Otsego BOCES-Practical Nursing Program,Norwich,NY,Associates,Public,Mid East,Rural,NA,0,34,NA,45987,48116,PS
Central Susquehanna Intermediate Unit LPN Career,Milton,PA,Associates,Public,Mid East,Rural,0.8387,0,87,NA,11506,49686,12034
Myotherapy Massage College,Millcreek,UT,Associates,Private,Rocky Mountains,Suburb,NA,0,61,NA,7278,31678,8233
G Skin & Beauty Institute,Oakbrook,IL,Associates,Private,Great Lakes,Suburb,NA,0,436,NA,4871,32281,7917
Cosmetology Training Center,Lafayette,LA,Associates,Private,Southeast,City,NA,0,101,NA,3642,16194,7800
Stage One-The Hair School,Lake Charles,LA,Associates,Private,Southeast,City,NA,0,79,NA,3652,17390,9833
Empire Beauty School-Malden,Malden,MA,Associates,Private,New England,Suburb,NA,0,101,NA,7529,23921,10667
Xenon A Stephanie Moss Academy,Omaha,NE,Associates,Private,Plains,City,NA,0,220,NA,3487,28953,6867
Orlo School of Hair Design and Cosmetology,Albany,NY,Associates,Private,Mid East,City,NA,0,60,NA,10573,32014,6538
Eastland-Fairfield Career and Technical Schools,Groveport,OH,Associates,Public,Great Lakes,Suburb,NA,0,84,NA,23834,43780,6333
Empire Beauty School-Cincinnati,Cincinnati,OH,Associates,Private,Great Lakes,Suburb,NA,0,175,NA,6417,23743,16500
Mahoning County Career and Technical Center,Canfield,OH,Associates,Public,Great Lakes,Suburb,NA,0,74,NA,5226,37526,PS
Pickaway Ross Joint Vocational School District,Chillicothe,OH,Associates,Public,Great Lakes,Town,NA,0,237,NA,21377,46485,5500
Pioneer Career and Technology Center,Shelby,OH,Associates,Public,Great Lakes,Town,NA,0,68,NA,10502,32219,PS
Raphael's School of Beauty Culture Inc-Boardman,Boardman,OH,Associates,Private,Great Lakes,Suburb,NA,0,131,NA,7600,22437,6251
Scioto County Career Technical Center,Lucasville,OH,Associates,Public,Great Lakes,Rural,NA,0,125,NA,30779,40584,5500
Pacific Bible College,Medford,OR,Associates,Private,Far West,City,0.9286,0,44,NA,15522,NA,PS
Lake Erie College of Osteopathic Medicine,Erie,PA,Associates,Private,Mid East,City,NA,0,10,NA,13976,NA,PS
UCAS University of Cosmetology Arts & Sciences-Harlingen,Harlingen,TX,Associates,Private,Southwest,City,NA,0,82,NA,1835,19880,6447
Paul Mitchell the School-Federal Way,Federal Way,WA,Associates,Private,Far West,Suburb,NA,0,151,NA,4134,31123,10555
Empire Beauty School-Green Bay,Ashwaubenon,WI,Associates,Private,Great Lakes,Suburb,NA,0,85,NA,5647,23589,10231
Warren County Career Center,Lebanon,OH,Associates,Public,Great Lakes,Rural,NA,0,206,NA,10139,49016,5500
Paul Mitchell the School-Wichita,Wichita,KS,Associates,Private,Plains,City,NA,0,172,NA,4985,31553,9833
Pinnacle Institute of Cosmetology,Mooresville,NC,Associates,Private,Southeast,City,NA,0,55,NA,5379,22786,9833
Southern Careers Institute-Pharr,Pharr,TX,Associates,Private,Southwest,City,NA,0,629,NA,3286,27035,8708
Florida National University-Main Campus,Hialeah,FL,Bachelors,Private,Southeast,Suburb,NA,0,2354,33531,2559,33928,27554
Georgia Institute of Cosmetology,Athens,GA,Associates,Private,Southeast,City,NA,0,250,NA,2375,21432,11273
Nouvelle Institute,Miami,FL,Associates,Private,Southeast,City,NA,0,54,NA,1219,16138,PS
