"country_code","country","year","age_group","online_shopping"
"FI","Finland",2020,"Y25_64",83.38
"FI","Finland",2020,"Y65_74",39.27
"FI","Finland",2021,"Y16_24",90.19
"FI","Finland",2021,"Y25_64",83.86
"FI","Finland",2021,"Y65_74",48.52
"FI","Finland",2022,"Y16_24",84.8
"FI","Finland",2022,"Y25_64",84.67
"FI","Finland",2022,"Y65_74",48.91
"FI","Finland",2023,"Y16_24",84.82
"FI","Finland",2023,"Y25_64",85.43
"FI","Finland",2023,"Y65_74",49.09
"FI","Finland",2024,"Y16_24",83.41
"FI","Finland",2024,"Y25_64",85.68
"FI","Finland",2024,"Y65_74",47.28
"FI","Finland",2025,"Y16_24",88.15
"FI","Finland",2025,"Y25_64",87.75
"FI","Finland",2025,"Y65_74",53.04
"FR","France",2020,"Y16_24",NA
"FR","France",2020,"Y25_64",NA
"FR","France",2020,"Y65_74",NA
"FR","France",2021,"Y16_24",85.81
"FR","France",2021,"Y25_64",79.9
"FR","France",2021,"Y65_74",47.96
"FR","France",2022,"Y16_24",89.2
"FR","France",2022,"Y25_64",80.19
"FR","France",2022,"Y65_74",44.58
"FR","France",2023,"Y16_24",85.84
"FR","France",2023,"Y25_64",81.14
"FR","France",2023,"Y65_74",49.79
"FR","France",2024,"Y16_24",90.34
"FR","France",2024,"Y25_64",83.86
"FR","France",2024,"Y65_74",55.01
"FR","France",2025,"Y16_24",84.73
"FR","France",2025,"Y25_64",84.76
"FR","France",2025,"Y65_74",55.68
"HR","Croatia",2020,"Y16_24",87.49
"HR","Croatia",2020,"Y25_64",60.07
"HR","Croatia",2020,"Y65_74",9.77
"HR","Croatia",2021,"Y16_24",83.44
"HR","Croatia",2021,"Y25_64",63.7
"HR","Croatia",2021,"Y65_74",12.75
"HR","Croatia",2022,"Y16_24",84.42
"HR","Croatia",2022,"Y25_64",63.18
"HR","Croatia",2022,"Y65_74",10.25
"HR","Croatia",2023,"Y16_24",85.36
"HR","Croatia",2023,"Y25_64",64.75
"HR","Croatia",2023,"Y65_74",14.52
"HR","Croatia",2024,"Y16_24",87.26
"HR","Croatia",2024,"Y25_64",66.61
"HR","Croatia",2024,"Y65_74",15.11
"HR","Croatia",2025,"Y16_24",88.12
"HR","Croatia",2025,"Y25_64",68.77
"HR","Croatia",2025,"Y65_74",16.97
"HU","Hungary",2020,"Y16_24",77.54
"HU","Hungary",2020,"Y25_64",64.18
"HU","Hungary",2020,"Y65_74",26.24
"HU","Hungary",2021,"Y16_24",78.58
"HU","Hungary",2021,"Y25_64",71.3
"HU","Hungary",2021,"Y65_74",32.14
"HU","Hungary",2022,"Y16_24",81.13
"HU","Hungary",2022,"Y25_64",76.23
"HU","Hungary",2022,"Y65_74",35.59
"HU","Hungary",2023,"Y16_24",77.99
"HU","Hungary",2023,"Y25_64",75.86
"HU","Hungary",2023,"Y65_74",35.48
"HU","Hungary",2024,"Y16_24",87.23
"HU","Hungary",2024,"Y25_64",78.98
"HU","Hungary",2024,"Y65_74",42.37
"HU","Hungary",2025,"Y16_24",79.44
"HU","Hungary",2025,"Y25_64",72.09
"HU","Hungary",2025,"Y65_74",38.46
"IE","Ireland",2020,"Y16_24",NA
"IE","Ireland",2020,"Y25_64",79.02
"IE","Ireland",2020,"Y65_74",52.76
"IE","Ireland",2021,"Y16_24",NA
"IE","Ireland",2021,"Y25_64",91.59
"IE","Ireland",2021,"Y65_74",67.26
"IE","Ireland",2022,"Y16_24",NA
"IE","Ireland",2022,"Y25_64",88.71
"IE","Ireland",2022,"Y65_74",37.68
"IE","Ireland",2023,"Y16_24",100
"IE","Ireland",2023,"Y25_64",89.88
"IE","Ireland",2023,"Y65_74",59.55
"IE","Ireland",2024,"Y16_24",97.31
"IE","Ireland",2024,"Y25_64",97.24
"IE","Ireland",2024,"Y65_74",78.61
"IE","Ireland",2025,"Y16_24",97.83
"IE","Ireland",2025,"Y25_64",96.57
"IE","Ireland",2025,"Y65_74",80.97
"IT","Italy",2020,"Y16_24",59.21
"IT","Italy",2020,"Y25_64",47.74
"IT","Italy",2020,"Y65_74",15.08
"IT","Italy",2021,"Y16_24",67.38
"IT","Italy",2021,"Y25_64",55.91
"IT","Italy",2021,"Y65_74",20.2
"IT","Italy",2022,"Y16_24",64.97
"IT","Italy",2022,"Y25_64",53.03
"IT","Italy",2022,"Y65_74",20.12
"IT","Italy",2023,"Y16_24",65.98
"IT","Italy",2023,"Y25_64",55.21
"IT","Italy",2023,"Y65_74",21.65
"IT","Italy",2024,"Y16_24",67.19
"IT","Italy",2024,"Y25_64",57.63
"IT","Italy",2024,"Y65_74",25.24
"IT","Italy",2025,"Y16_24",68.34
"IT","Italy",2025,"Y25_64",60.28
"IT","Italy",2025,"Y65_74",28.79
"LT","Lithuania",2020,"Y16_24",72.24
"LT","Lithuania",2020,"Y25_64",59.06
"LT","Lithuania",2020,"Y65_74",12.35
"LT","Lithuania",2021,"Y16_24",83.97
"LT","Lithuania",2021,"Y25_64",64.43
"LT","Lithuania",2021,"Y65_74",16.82
"LT","Lithuania",2022,"Y16_24",81.12
"LT","Lithuania",2022,"Y25_64",65.89
"LT","Lithuania",2022,"Y65_74",14.77
"LT","Lithuania",2023,"Y16_24",84.3
"LT","Lithuania",2023,"Y25_64",66.45
"LT","Lithuania",2023,"Y65_74",17.1
"LT","Lithuania",2024,"Y16_24",82.21
"LT","Lithuania",2024,"Y25_64",71.05
"LT","Lithuania",2024,"Y65_74",21.63
"LT","Lithuania",2025,"Y16_24",86.24
"LT","Lithuania",2025,"Y25_64",71.3
"LT","Lithuania",2025,"Y65_74",21.61
"LU","Luxembourg",2020,"Y16_24",77.86
"LU","Luxembourg",2020,"Y25_64",82
"LU","Luxembourg",2020,"Y65_74",54.37
"LU","Luxembourg",2021,"Y16_24",76.72
