SUMLEV,REGION,DIVISION,STATE,NAME,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG_2020,NPOPCHG_2021,NPOPCHG_2022,NPOPCHG_2023,NPOPCHG_2024,NPOPCHG_2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025
040,3,5,12,Florida,21591325,21836698,22413989,22929248,23265838,23462518,53118,245373,577291,515259,336590,196680,50409,208256,222202,224378,221213,225971,56364,250266,260264,231949,229252,227304,-5955,-42010,-38062,-7571,-8039,-1333,2838,46857,287845,333449,283664,178674,61662,253220,310892,183646,58411,22517,64500,300077,598737,517095,342075,201191,-5427,-12694,16616,5735,2554,-3178
040,3,5,13,Georgia,10732595,10793038,10929992,11063669,11204208,11302748,18734,60443,136954,133677,140539,98540,29838,121375,125747,126265,125708,126446,24705,109407,110519,98375,97476,97815,5133,11968,15228,27890,28232,28631,732,10163,42619,52726,86526,42579,11584,37079,79102,52348,25403,27333,12316,47242,121721,105074,111929,69912,1285,1233,5,713,378,-3
040,4,9,15,Hawaii,1451130,1446909,1437812,1434950,1434952,1432820,-4137,-4221,-9097,-2862,2,-2132,3825,15525,15726,15245,14737,14631,2858,12239,13490,12979,12704,12607,967,3286,2236,2266,2033,2024,123,2052,4598,6350,6588,4768,-4865,-9849,-15999,-11327,-8486,-8876,-4742,-7797,-11401,-4977,-1898,-4108,-362,290,68,-151,-133,-48
040,4,8,16,Idaho,1849328,1904855,1942951,1970497,2000872,2029733,10205,55527,38096,27546,30375,28861,5459,21845,22375,22357,22868,23695,3630,17114,18939,16829,16782,16795,1829,4731,3436,5528,6086,6900,58,699,5908,7179,8154,2148,8812,52350,28019,14713,15975,19915,8870,53049,33927,21892,24129,22063,-494,-2253,733,126,160,-102
040,2,3,17,Illinois,12795348,12703354,12609577,12633389,12703033,12719141,-26393,-91994,-93777,23812,69644,16108,33452,131839,129746,127000,125470,125129,35327,128445,127075,116926,113529,114226,-1875,3394,2671,10074,11941,10903,507,11432,51733,94146,111121,44752,-25229,-108364,-149904,-79784,-53080,-40017,-24722,-96932,-98171,14362,58041,4735,204,1544,1723,-624,-338,470
040,2,3,18,Indiana,6790290,6814223,6841491,6881373,6934754,6973333,3685,23933,27268,39882,53381,38579,19425,77620,80451,79708,79448,79648,19147,77873,79703,72091,70277,71087,278,-253,748,7617,9171,8561,342,6065,25501,29749,38414,17852,1635,15069,3966,3077,6024,12197,1977,21134,29467,32826,44438,30049,1430,3052,-2947,-561,-228,-31
040,2,4,19,Iowa,3191081,3199037,3201890,3214739,3230454,3238387,499,7956,2853,12849,15715,7933,9091,35845,36774,36415,36280,36470,8032,35466,35685,32987,32751,33521,1059,379,1089,3428,3529,2949,199,3701,9235,13275,12701,5903,-1242,2294,-6301,-3502,-427,-970,-1043,5995,2934,9773,12274,4933,483,1582,-1170,-352,-88,51
040,2,4,20,Kansas,2938274,2938966,2938034,2949749,2965252,2977220,288,692,-932,11715,15503,11968,8501,34178,34404,34681,33957,34416,6984,32781,33232,30221,29122,29465,1517,1397,1172,4460,4835,4951,136,2068,6270,12815,15548,7440,-1904,-4610,-7185,-5284,-4775,-519,-1768,-2542,-915,7531,10773,6921,539,1837,-1189,-276,-105,96
040,3,6,21,Kentucky,4508271,4508348,4521238,4549953,4584046,4606864,1984,77,12890,28715,34093,22818,12636,51493,52462,52597,52350,52982,12754,58343,61378,54273,53307,53065,-118,-6850,-8916,-1676,-957,-83,119,1756,12538,23457,28210,15709,1029,3010,10343,7154,7013,7269,1148,4766,22881,30611,35223,22978,954,2161,-1075,-220,-173,-77
040,3,7,22,Louisiana,4652145,4628595,4600892,4598777,4614878,4618189,-5749,-23550,-27703,-2115,16101,3311,13562,57077,56554,56694,53942,51886,14807,56899,56822,50219,49783,49112,-1245,178,-268,6475,4159,2774,192,3182,19957,22784,29740,14900,-5162,-27184,-48131,-31283,-17659,-14387,-4970,-24002,-28174,-8499,12081,513,466,274,739,-91,-139,24
